,Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
8827,2019.11.28_08.34.19,-8.483130000000001,51.899221,0,B,11,5G,-89,-13,1.0,7,-69,0,0
8828,2019.11.28_08.34.20,-8.483130000000001,51.899221,0,B,11,5G,-89,-13,1.0,7,-69,2,5
8829,2019.11.28_08.34.21,-8.483130000000001,51.899221,0,B,11,5G,-89,-17,-7.0,7,-69,0,0
8830,2019.11.28_08.34.22,-8.483130000000001,51.899221,0,B,11,5G,-89,-17,-7.0,7,-69,2,4
8831,2019.11.28_08.34.23,-8.483130000000001,51.899221,0,B,11,5G,-90,-12,-1.0,11,-67,0,0
8832,2019.11.28_08.34.24,-8.483130000000001,51.899221,0,B,11,5G,-90,-12,-1.0,9,-69,0,0
8833,2019.11.28_08.34.25,-8.483130000000001,51.899221,0,B,11,5G,-90,-12,-6.0,9,-69,0,0
8834,2019.11.28_08.34.26,-8.483130000000001,51.899221,0,B,11,5G,-90,-12,-6.0,9,-69,0,0
8835,2019.11.28_08.34.27,-8.483130000000001,51.899221,0,B,11,5G,-90,-11,0.0,10,-71,0,0
8836,2019.11.28_08.34.28,-8.483130000000001,51.899221,0,B,11,5G,-90,-11,0.0,10,-71,0,0
8837,2019.11.28_08.34.29,-8.483130000000001,51.899221,0,B,11,5G,-88,-17,-4.0,10,-69,0,0
8838,2019.11.28_08.34.31,-8.483130000000001,51.899221,0,B,11,5G,-88,-17,-4.0,10,-69,0,0
8839,2019.11.28_08.34.32,-8.483130000000001,51.899221,0,B,11,5G,-90,-16,-1.0,10,-69,0,0
8840,2019.11.28_08.34.33,-8.483130000000001,51.899221,0,B,11,5G,-90,-16,-1.0,6,-73,0,0
8841,2019.11.28_08.34.34,-8.483130000000001,51.899221,0,B,11,5G,-90,-18,-8.0,6,-73,0,0
8842,2019.11.28_08.34.35,-8.483130000000001,51.899221,0,B,11,5G,-90,-18,-8.0,7,-68,18338,112
8843,2019.11.28_08.34.36,-8.483130000000001,51.899221,0,B,11,5G,-90,-19,-8.0,7,-68,0,0
8844,2019.11.28_08.34.37,-8.483130000000001,51.899221,0,B,11,5G,-90,-19,-8.0,7,-68,0,0
8845,2019.11.28_08.34.38,-8.483130000000001,51.899221,0,B,11,5G,-90,-16,-8.0,7,-68,0,0
8846,2019.11.28_08.34.39,-8.483130000000001,51.899221,0,B,11,5G,-90,-16,-8.0,7,-68,2,4
8847,2019.11.28_08.34.40,-8.483130000000001,51.899221,0,B,11,5G,-89,-15,-3.0,7,-68,2,4
8848,2019.11.28_08.34.41,-8.483130000000001,51.899221,0,B,11,5G,-89,-15,-3.0,7,-68,0,0
8849,2019.11.28_08.34.42,-8.483130000000001,51.899221,0,B,11,5G,-90,-18,-7.0,7,-68,2,4
8850,2019.11.28_08.34.43,-8.483130000000001,51.899221,0,B,11,5G,-90,-18,-7.0,7,-68,0,0
8851,2019.11.28_08.34.45,-8.483130000000001,51.899221,0,B,11,5G,-90,-18,-2.0,7,-68,0,0
8852,2019.11.28_08.34.46,-8.483130000000001,51.899221,0,B,11,5G,-90,-18,-2.0,7,-68,0,0
8853,2019.11.28_08.34.47,-8.483130000000001,51.899221,0,B,11,5G,-90,-19,-7.0,7,-68,0,0
8854,2019.11.28_08.34.48,-8.483130000000001,51.899221,0,B,11,5G,-90,-19,-7.0,7,-68,0,0
8855,2019.11.28_08.34.49,-8.483130000000001,51.899221,0,B,11,5G,-89,-18,-7.0,7,-68,0,0
8856,2019.11.28_08.34.50,-8.483130000000001,51.899221,0,B,11,5G,-89,-18,-7.0,6,-70,0,0
8857,2019.11.28_08.34.51,-8.483130000000001,51.899221,0,B,11,5G,-89,-16,-8.0,6,-70,0,0
8858,2019.11.28_08.34.52,-8.483130000000001,51.899221,0,B,11,5G,-89,-16,-8.0,6,-70,0,0
